reporting_area,population,nearest_agency,nearest_agency_province,province_service_distance_km,service_area_band
BULACAN,3708890,Standpro Testing Center Opc.,METROPOLITAN MANILA,33.34475455433272,No local lab; nearest <= 50 km
RIZAL,3330143,Philippine Institute of Pure and Applied Chemistry,METROPOLITAN MANILA,20.82298832533136,No local lab; nearest <= 50 km
PANGASINAN,3163190,DOST-CAR,BENGUET,61.68240032790915,No local lab; nearest 50-100 km
NUEVA ECIJA,2310134,DOST-III,PAMPANGA,75.45742893464347,No local lab; nearest 50-100 km
QUEZON,2229383,International Rice Research Institute,LAGUNA,78.69626108502712,No local lab; nearest 50-100 km
CAMARINES SUR,2068244,DOST-V,ALBAY,82.27622898850014,No local lab; nearest 50-100 km
ISABELA,1697050,DOST-II,CAGAYAN,80.86582493686785,No local lab; nearest 50-100 km
BUKIDNON,1541308,F.A.S.T. Laboratories (The First Analytical Services and Technical Cooperative) - Cagayan de Oro Branch,MISAMIS ORIENTAL,64.85262244328598,No local lab; nearest 50-100 km
TARLAC,1503456,DOST-III,PAMPANGA,51.655321394941154,No local lab; nearest 50-100 km
NEGROS ORIENTAL,1432990,Negros Prawn Producers Cooperative Analytical and Diagnostic Laboratory,NEGROS OCCIDENTAL,124.46242768195087,No local lab; nearest 100-200 km
BOHOL,1394329,"GCH Center For Food Safety and Quality, Inc.",CEBU,61.13142036782159,No local lab; nearest 50-100 km
COTABATO (NORTH COTABATO),1275185,DOST-ARMM,MAGUINDANAO,67.2794225964731,No local lab; nearest 50-100 km
LANAO DEL SUR,1195518,DOST-ARMM,MAGUINDANAO,67.29973539420052,No local lab; nearest 50-100 km
LANAO DEL NORTE,1086017,DOST-X,MISAMIS ORIENTAL,83.28016417644261,No local lab; nearest 50-100 km
ZAMBOANGA DEL NORTE,1047455,DOST-IX,ZAMBOANGA DEL SUR,152.13214864661796,No local lab; nearest 100-200 km
SULU,1000108,DOST-IX,ZAMBOANGA DEL SUR,156.02891072905712,No local lab; nearest 100-200 km
ZAMBALES,909932,DOST-III,PAMPANGA,62.61895062634227,No local lab; nearest 50-100 km
MASBATE,908920,DOST-V,ALBAY,101.97113789866353,No local lab; nearest 100-200 km
