reporting_area,population,agency_count,service_count,unique_test_count,labs_per_100k_population,services_per_100k_population,gap_score,classification
CEBU,5151274,4,48,45,0.07765069378953633,0.931808325474436,0.2991177632463592,Potentially underserved
CAVITE,4344829,2,14,14,0.04603173105316688,0.32222211737216816,0.2843862550568408,Potentially underserved
BULACAN,3708890,0,0,0,0.0,0.0,0.27403535712511357,No local OneLab presence
RIZAL,3330143,0,0,0,0.0,0.0,0.24590841676858663,No local OneLab presence
PANGASINAN,3163190,0,0,0,0.0,0.0,0.23350996325385717,No local OneLab presence
NEGROS OCCIDENTAL,3223955,1,17,15,0.031017802667841207,0.5273026453533005,0.21551744107051518,Potentially underserved
PAMPANGA,2900637,1,62,61,0.03447518596777191,2.1374615300018585,0.1717307812271673,Potentially underserved
NUEVA ECIJA,2310134,0,0,0,0.0,0.0,0.17015934864099574,No local OneLab presence
QUEZON,2229383,0,0,0,0.0,0.0,0.16416252606357623,No local OneLab presence
BATANGAS,2908494,2,47,47,0.06876410953572536,1.615956574089546,0.16332515636612388,Potentially underserved
