reporting_area,population,agency_count,service_count,unique_test_count,avg_services_per_agency,avg_fee,min_fee,max_fee,labs_per_100k_population,services_per_100k_population,unique_tests_per_100k_population,area_sq_km,population_density_per_sq_km,agency_count_norm,service_count_norm,unique_test_count_norm,labs_per_100k_norm,services_per_100k_norm,unique_tests_per_100k_norm,population_norm,supply_score,per_capita_supply_score,gap_score,classification,nearest_agency,nearest_agency_province,centroid_nearest_lab_km,province_service_distance_km,service_area_band
ABRA,250985,0,0,0,0.0,,,,0.0,0.0,0.0,3926.64594495706,63.91841880277919,0.0,0.0,0.0,0.0,0.0,0.0,0.017240484311503858,0.0,0.0,0.017240484311503858,No local OneLab presence,DOST-II,CAGAYAN,106.01781680007936,106.01781680007936,No local lab; nearest 100-200 km
AGUSAN DEL NORTE,760413,1,40,40,40.0,1654.0,80.0,19000.0,0.13150748343334479,5.260299337333791,5.260299337333791,2676.075825306995,284.1522623570529,0.038461538461538464,0.02888086642599278,0.029476787030213707,0.42760797969875153,0.3252531553315354,0.344126645969729,0.055072205676807866,0.03283231936105524,0.36996978320606055,0.022239886315752626,Laboratory/service hotspot,DOST-CARAGA,AGUSAN DEL NORTE,9.287009706229824,0.0,Local OneLab presence
AGUSAN DEL SUR,739367,0,0,0,0.0,,,,0.0,0.0,0.0,8452.3251502206,87.47498313889439,0.0,0.0,0.0,0.0,0.0,0.0,0.05350926369510645,0.0,0.0,0.05350926369510645,No local OneLab presence,DOST-CARAGA,AGUSAN DEL NORTE,63.331107731221444,63.331107731221444,No local lab; nearest 50-100 km
AKLAN,615475,0,0,0,0.0,,,,0.0,0.0,0.0,1684.8723451926687,365.29473687196116,0.0,0.0,0.0,0.0,0.0,0.0,0.044308655123551206,0.0,0.0,0.044308655123551206,No local OneLab presence,DOST-VI,ILOILO,107.78512536156451,107.78512536156451,No local lab; nearest 100-200 km
ALBAY,1374768,1,31,31,31.0,782.4193548387096,0.0,2000.0,0.07273954587246721,2.2549259220464832,2.2549259220464832,2469.428824227988,556.7149725118279,0.038461538461538464,0.022382671480144403,0.022844509948415623,0.23651893749830277,0.139425862322928,0.14751633789292382,0.10069613522010219,0.02890658596635627,0.17988118750707707,0.07178954925374592,Laboratory/service hotspot,DOST-V,ALBAY,15.92649623254759,0.0,Local OneLab presence
ANTIQUE,612974,0,0,0,0.0,,,,0.0,0.0,0.0,2736.4989757964286,223.99935297677226,0.0,0.0,0.0,0.0,0.0,0.0,0.044122923017866744,0.0,0.0,0.044122923017866744,No local OneLab presence,DOST-VI,ILOILO,72.59824220380732,72.59824220380732,No local lab; nearest 50-100 km
APAYAO,124366,0,0,0,0.0,,,,0.0,0.0,0.0,3988.8129619003053,31.178699324309996,0.0,0.0,0.0,0.0,0.0,0.0,0.00783736016529786,0.0,0.0,0.00783736016529786,No local OneLab presence,DOST-II,CAGAYAN,82.31253256415624,82.31253256415624,No local lab; nearest 50-100 km
AURORA,235750,0,0,0,0.0,,,,0.0,0.0,0.0,3030.438178124845,77.794030481056,0.0,0.0,0.0,0.0,0.0,0.0,0.016109085419019724,0.0,0.0,0.016109085419019724,No local OneLab presence,DOST-CAR,BENGUET,138.58235599831346,138.58235599831346,No local lab; nearest 100-200 km
BASILAN,426207,0,0,0,0.0,,,,0.0,0.0,0.0,1133.8552561862737,375.8918942031003,0.0,0.0,0.0,0.0,0.0,0.0,0.03025301970624325,0.0,0.0,0.03025301970624325,No local OneLab presence,DOST-IX,ZAMBOANGA DEL SUR,38.26296845357761,38.26296845357761,No local lab; nearest <= 50 km
BATAAN,853373,0,0,0,0.0,,,,0.0,0.0,0.0,1244.9536405682027,685.4656849796564,0.0,0.0,0.0,0.0,0.0,0.0,0.06197570689409208,0.0,0.0,0.06197570689409208,No local OneLab presence,DOST-III,PAMPANGA,51.90665956357,51.90665956357,No local lab; nearest 50-100 km
BATANES,18831,0,0,0,0.0,,,,0.0,0.0,0.0,201.37482113879474,93.51218734054642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No local OneLab presence,DOST-II,CAGAYAN,342.08948969384784,342.08948969384784,No local lab; nearest > 200 km
