reporting_area,population,agency_count,service_count,unique_test_count,labs_per_100k_population,services_per_100k_population,classification
METROPOLITAN MANILA,13484462,26,1385,1357,0.19281451495803095,10.271080892956649,Laboratory/service hotspot
LAGUNA,3382193,7,547,517,0.20696630854596412,16.172938682091765,Laboratory/service hotspot
CEBU,5151274,4,48,45,0.07765069378953633,0.931808325474436,Potentially underserved
SOUTH COTABATO,975476,3,57,34,0.30754216403068857,5.843301116583083,Laboratory/service hotspot
BATANGAS,2908494,2,47,47,0.06876410953572536,1.615956574089546,Potentially underserved
MISAMIS ORIENTAL,1685302,2,74,72,0.11867309241904418,4.3909044195046345,Laboratory/service hotspot
DAVAO DEL SUR,2457430,2,65,65,0.08138583805032087,2.645039736635428,Potentially underserved
CAVITE,4344829,2,14,14,0.04603173105316688,0.32222211737216816,Potentially underserved
MAGUINDANAO,1667258,2,52,39,0.1199574391006071,3.118893416615785,Laboratory/service hotspot
PAMPANGA,2900637,1,62,61,0.03447518596777191,2.1374615300018585,Potentially underserved
