reporting_area,population,agency_count,service_count,unique_test_count,services_per_100k_population,classification
METROPOLITAN MANILA,13484462,26,1385,1357,10.271080892956649,Laboratory/service hotspot
LAGUNA,3382193,7,547,517,16.172938682091765,Laboratory/service hotspot
MISAMIS ORIENTAL,1685302,2,74,72,4.3909044195046345,Laboratory/service hotspot
BENGUET,827041,1,72,69,8.705735265845345,Laboratory/service hotspot
ZAMBOANGA DEL SUR,2027902,1,70,70,3.451843333652218,Laboratory/service hotspot
DAVAO DEL SUR,2457430,2,65,65,2.645039736635428,Potentially underserved
PAMPANGA,2900637,1,62,61,2.1374615300018585,Potentially underserved
SOUTH COTABATO,975476,3,57,34,5.843301116583083,Laboratory/service hotspot
LA UNION,822352,1,55,54,6.6881335486507,Laboratory/service hotspot
MAGUINDANAO,1667258,2,52,39,3.118893416615785,Laboratory/service hotspot
